stage,date,sha,pr,subject
01_scheduling,2024-05-03T07:45:49-04:00,80b08b71aa96,5092,"Support NBAs to arrays inside loops (#5092)"
01_scheduling,2024-05-02T00:24:00+01:00,3f89bdcfaccb,5091,"Defer conversion of set flag based AssignDlys (#5091)"
01_scheduling,2024-05-01T23:06:25+01:00,d841a791e64a,5090,"Refactor V3Delayed to enable algorithmic extension (#5090)"
01_scheduling,2024-05-01T16:22:56+01:00,b5b937e2f28e,5089,"Fix missed optimization in V3Delayed (#5089)"
01_scheduling,2024-03-20T08:54:23-04:00,88831ca21b97,5007,"Fix preprocessor to respect strings in joins (#5007)"
01_scheduling,2024-03-16T16:32:12+00:00,292cc547687a,4991,"Compute MTask affinity in V3VariableOrder (#4991)"
01_scheduling,2024-03-16T10:35:56+00:00,878204db73d6,4972,"Do not feed any empty logic into scheduling (#4972)"
01_scheduling,2024-02-06T07:27:19-05:00,fe8c7c5a9408,4880,"Fix timing with expr on assign LHS (#4880)"
01_scheduling,2024-01-25T20:33:43-05:00,94460867d37c,4690,"Fix nondeterministic fork/tristate ordering (#4690)."
01_scheduling,2024-01-24T18:48:27-05:00,771cb5f60bae,,"Tests: Fix last commit when no coroutines."
01_scheduling,2024-01-24T17:55:23-05:00,23836ee8d00a,4858,"Document gprof steps better. Add t_prof_timing test to show GCC bug (#4858)."
01_scheduling,2024-01-20T10:57:00-05:00,d595d4c7ac58,,"Tests: Use --binary with some --timing tests"
01_scheduling,2023-12-22T22:57:45+01:00,621de301c755,4778,"Run the `V3Fork` stage only if `--timing` is set (#4778)"
01_scheduling,2023-12-20T18:12:17+01:00,016e630ecfca,4773,"Refine dynamic NBA condition (#4773)"
01_scheduling,2023-12-12T18:11:43+00:00,6012ec8eb71d,,"Put dynamic NBA commit in eval_phase__nba"
01_scheduling,2023-12-04T22:11:07-05:00,ea2084392f6f,4673,"Support --timing triggers for virtual interfaces (#4673)"
01_scheduling,2023-12-02T15:57:38-05:00,fc9b66b07834,,"Tests: Fix t_assigndly_dynamic_notiming_bad to survive new dead code elimination"
01_scheduling,2023-11-20T21:02:10-05:00,4650105d908d,4707,"Fix conflicted namespace for coroutines (#4701) (#4707)"
01_scheduling,2023-11-16T11:21:23+01:00,b8417abee5f1,4696,"Fix dynamic NBAs with automatic vars (#4696)"
01_scheduling,2023-11-11T10:04:10-05:00,9a0254a1187a,4669,"Optimize timing-delayed queue (#4584). (#4669)"
01_scheduling,2023-11-05T16:58:22+00:00,c563175ff009,4668,"Fix scheduling of external force signals (#4668)"
01_scheduling,2023-11-05T11:39:06-05:00,b110c55993b4,4628,"Fix a memory leak in V3Fork (#4628)"
01_scheduling,2023-10-27T15:08:02-04:00,89743aae5da3,4624,"Fix stable name generation in V3Fork (#4615) (#4624)"
01_scheduling,2023-10-20T20:01:45-04:00,7b12f6a1dd37,4572,"Support NBAs in non-inlined functions/tasks (#4496) (#4572)"
01_scheduling,2023-10-20T07:13:57-04:00,83a0085c4d79,4586,"Support `wait fork` (#4586)"
01_scheduling,2023-10-18T16:49:20-04:00,8720841c4870,4583,"Fix to not remap local assign intravals in forks (#4583)"
01_scheduling,2023-10-16T14:02:29+02:00,ad3bcbb1bb0a,4569,"Support `disable fork` (#4125) (#4569)"
01_scheduling,2023-09-19T17:32:42-04:00,a16ea94836f4,4506,"Fix detecting local vars in nested forks (#4493) (#4506)"
01_scheduling,2023-09-10T08:53:21-04:00,b5b278d07223,4471,"Fix fork crash with no init, test for (#4471)"
01_scheduling,2023-09-08T16:40:14+02:00,70b11f91b49c,4455,"Support block_item_declaration in forks (#4455)"
01_scheduling,2023-08-30T17:59:25-04:00,6d5dde864566,4418,"Fix duplicate Vfork functions (#4418)"
01_scheduling,2023-08-30T07:02:55-04:00,b4b74d72f033,4444,"Add prepareClone and atClone APIs for Verilated models (#3503) (#4444)"
01_scheduling,2023-08-29T20:01:00+02:00,c3e19f282179,4356,"Move variables mutated under fork..join_none/join_any blocks into anonymous objects (#4356)"
01_scheduling,2023-08-21T10:22:09-04:00,7c7c92d2ddaf,4431,"Fix coroutine handle movement during queue manipulation (#4431)"
01_scheduling,2023-08-12T10:41:44-04:00,5447ed26293a,4416,"Fix multple function definitions in V3Sched (#4416)."
01_scheduling,2023-07-07T08:19:49-04:00,d5d1cc47e06b,4344,"Fix multiple edge timing controls in class methods (#4318) (#4320) (#4344)"
01_scheduling,2023-07-05T10:36:10+00:00,35d6da391b91,4320,"Fix multiple edge timing controls in class methods (#4318) (#4320)"
